"group.1","group.2","group.3","group.4","Metastudy","original study","Species","met.rate.Jh","mass.mg","temp.C"
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Bembidion",0.012824,2.156,10
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Bembidion",0.009909,2.248,10
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Bembidion",0.010492,2.392,10
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Calathus fuscipes",0.47215,58.85,10
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Bembidion",0.011075,2.378,10
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Bembidion",0.008744,2.102,10
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Bembidion",0.017196,2.077,10
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Nebria brevicollis",0.201101,70.86,10
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Calathus fuscipes",0.160298,51.52,10
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Nebria brevicollis",0.577073,65.29,10
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Nebria brevicollis",0.195272,66.41,10
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Nebria brevicollis",0.1807,73.19,10
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Nebria brevicollis",0.378886,66.55,10
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Calathus fuscipes",0.154469,64.62,10
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Calathus fuscipes",0.212759,73.35,10
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Calathus fuscipes",0.23899,52.14,10
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Pseudophonus rufipes",0.157383,126.99,15
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Pseudophonus rufipes",0.186529,115.36,15
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Bembidion",0.024482,2.1,15
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Ocypus ophtalmicus",0.795661,122.44,25
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Ocypus ophtalmicus",0.906412,128.73,25
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Ocypus ophtalmicus",1.101684,70.82,25
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Ocypus ophtalmicus",1.503887,158.47,25
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Ocypus ophtalmicus",0.425518,77.29,25
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Ocypus ophtalmicus",0.702397,134.62,25
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Ocypus ophtalmicus",0.480894,84.24,25
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Ocypus ophtalmicus",0.629534,67.33,25
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Ocypus ophtalmicus",0.836464,124.64,25
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Pseudophonus rufipes",0.256477,112.35,15
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Pseudophonus rufipes",0.501296,105.02,15
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Pseudophonus rufipes",0.947215,137.09,15
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Loricera pilicornis",0.09035,15.12,15
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Loricera pilicornis",0.081606,14.1,15
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Calathus melanocephalus",0.11658,11.81,15
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Calathus melanocephalus",0.096179,13.2,15
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Nebria brevicollis",0.340998,77.63,15
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Nebria brevicollis",0.314767,72.82,15
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Nebria brevicollis",0.259391,42.76,15
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Nebria brevicollis",0.256477,54.65,15
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Nebria brevicollis",0.399288,53.84,15
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Calathus melanocephalus",0.107837,16.37,15
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Platynus dorsalis",0.075777,10.97,15
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Platynus dorsalis",0.107837,12.04,15
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Platynus dorsalis",0.075777,11.34,15
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Platynus dorsalis",0.119495,13.5,15
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Platynus dorsalis",0.084521,11.49,15
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Platynus dorsalis",0.163213,15.43,15
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Loricera pilicornis",0.171956,15.16,15
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Loricera pilicornis",0.186529,16.53,15
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Loricera pilicornis",0.145725,17.73,15
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Loricera pilicornis",0.122409,12.28,15
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Loricera pilicornis",0.119495,13.35,15
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Loricera pilicornis",0.125324,13.73,15
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Loricera pilicornis",0.142811,14.98,15
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Ocypus ophtalmicus",0.585816,126.98,20
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Ocypus ophtalmicus",0.658679,131.72,20
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Ocypus ophtalmicus",0.428433,79.39,20
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Ocypus ophtalmicus",0.641192,139.32,20
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Ocypus ophtalmicus",0.378886,90.16,20
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Ocypus ophtalmicus",0.961788,104.78,20
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Abax paralellepipedus",1.168718,241.6,20
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Abax paralellepipedus",0.649936,266.67,20
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Abax paralellepipedus",0.454663,181.85,20
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Abax paralellepipedus",0.38763,276.74,20
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Abax paralellepipedus",0.556671,263.6,20
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Abax paralellepipedus",1.745791,244.73,20
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Bembidion",0.024045,2.3125,20
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Platynus dorsalis",0.253562,12.76,25
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Platynus dorsalis",0.247733,13.11,25
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Bembidion",0.034391,2.266,25
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Bembidion",0.037889,2.306,25
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Platynus dorsalis",0.714055,16.4,30
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Platynus dorsalis",0.367228,14.39,30
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Platynus dorsalis",0.367228,12.42,30
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Platynus dorsalis",0.163213,10.62,30
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Platynus dorsalis",0.443005,17.29,30
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Platynus dorsalis",0.32934,12.42,30
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Platynus dorsalis",0.276878,9.07,30
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Loricera pilicornis",0.215674,14.78,30
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Loricera pilicornis",0.375972,18.13,30
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Loricera pilicornis",0.477979,18.34,30
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Loricera pilicornis",0.754858,17.13,30
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Loricera pilicornis",0.443005,16.74,30
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Loricera pilicornis",0.349741,12.26,30
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Loricera pilicornis",0.571244,15.72,30
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Ocypus ophtalmicus",0.151554,122.61,10
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Ocypus ophtalmicus",0.134067,127.19,10
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Ocypus ophtalmicus",0.113666,75.16,10
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Ocypus ophtalmicus",0.160298,127.58,10
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Ocypus ophtalmicus",0.087435,87.46,10
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Ocypus ophtalmicus",0.110751,102.83,10
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Pterostichus melanarius",0.131153,135.27,10
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Pterostichus melanarius",0.186529,168.38,10
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Pseudophonus rufipes",0.582902,97.63,30
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Pseudophonus rufipes",0.830635,119.35,30
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Pseudophonus rufipes",1.072539,100.29,30
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Pterostichus oblongopunctatus",0.475065,65.51,30
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Pterostichus oblongopunctatus",0.475065,44.17,30
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Pterostichus oblongopunctatus",0.41386,52.008,30
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Platynus dorsalis",0.160298,10.82,30
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Platynus dorsalis",0.201101,13.07,30
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Platynus dorsalis",0.233161,16,30
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Loricera pilicornis",0.364314,15.78,30
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Loricera pilicornis",0.530441,17.87,30
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Loricera pilicornis",0.233161,15.19,30
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Pseudophonus rufipes",0.993848,158.03,20
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Pseudophonus rufipes",0.247733,89.31,20
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Pseudophonus rufipes",0.291451,114.73,20
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Pseudophonus rufipes",0.241904,87.46,20
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Pseudophonus rufipes",0.282707,90.83,20
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Bembidion",0.021567,2.098,20
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Bembidion",0.019819,1.98,20
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Bembidion",0.020402,2.368,20
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Bembidion",0.01807,2.094,20
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Bembidion",0.016321,1.962,20
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Bembidion",0.027396,2.036,20
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Loricera pilicornis",0.099093,12.16,20
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Loricera pilicornis",0.131153,17,20
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Abax paralellepipedus",0.390544,255.82,15
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Abax paralellepipedus",0.460492,272.44,15
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Abax paralellepipedus",0.533355,232.09,15
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Abax paralellepipedus",1.326102,276.1,15
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Abax paralellepipedus",1.09877,332.85,15
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Abax paralellepipedus",0.658679,380.75,15
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Abax paralellepipedus",1.812825,367.4,15
"Arthropoda","Insecta","Coleoptera","Coleoptera","this study","this study","Abax paralellepipedus",0.475065,272.92,15
